iter	Passed	Remaining
0	271	543360
1	337	336936
2	404	268958
3	466	232944
4	542	216623
5	608	202245
6	683	194623
7	752	187310
8	822	181921
9	894	178018
10	968	175203
11	1038	172057
12	1113	170142
13	1183	167848
14	1253	165875
15	1325	164365
16	1398	163088
17	1462	161089
18	1534	159997
19	1609	159382
20	1676	157996
21	1753	157668
22	1822	156617
23	1891	155722
24	1955	154473
25	2034	154465
26	2096	153188
27	2167	152651
28	2237	152054
29	2303	151291
30	2369	150499
31	2446	150438
32	2515	149960
33	2588	149666
34	2652	148903
35	2722	148530
36	2788	147943
37	2863	147846
38	2925	147124
39	3000	147017
40	3071	146772
41	3142	146480
42	3208	146025
43	3281	145856
44	3345	145347
45	3415	145078
46	3488	144947
47	3559	144751
48	3625	144334
49	3705	144524
50	3769	144057
51	3836	143735
52	3907	143532
53	3974	143243
54	4056	143446
55	4128	143333
56	4195	143000
57	4258	142581
58	4332	142516
59	4397	142174
60	4465	141937
61	4542	141976
62	4606	141622
63	4668	141221
64	4753	141501
65	4819	141216
66	4891	141125
67	4960	140948
68	5031	140817
69	5093	140421
70	5167	140392
71	5234	140178
72	5304	140025
73	5373	139859
74	5435	139507
75	5500	139243
76	5578	139306
77	5637	138913
78	5715	138972
79	5788	138919
80	5852	138655
81	5924	138565
82	5991	138384
83	6053	138072
84	6119	137859
85	6193	137849
86	6258	137606
87	6319	137306
88	6383	137074
89	6456	137018
90	6522	136823
91	6592	136713
92	6674	136863
93	6744	136762
94	6811	136592
95	6890	136654
96	6958	136510
97	7030	136440
98	7100	136337
99	7167	136185
100	7233	136005
101	7314	136111
102	7379	135904
103	7456	135939
104	7523	135776
105	7587	135574
106	7652	135390
107	7741	135618
108	7810	135503
109	7889	135564
110	7955	135389
111	8028	135340
112	8095	135183
113	8172	135202
114	8238	135034
115	8300	134814
116	8400	135201
117	8505	135648
118	8579	135621
119	8649	135508
120	8717	135373
121	8790	135308
122	8861	135229
123	8939	135246
124	9012	135193
125	9080	135060
126	9150	134950
127	9245	135209
128	9312	135070
129	9387	135038
130	9459	134967
131	9529	134850
132	9596	134706
133	9684	134853
134	9756	134791
135	9837	134825
136	9899	134623
137	9964	134442
138	10027	134249
139	10100	134197
140	10161	133977
141	10245	134053
142	10326	134096
143	10424	134361
144	10525	134653
145	10599	134601
146	10691	134766
147	10770	134779
148	10842	134692
149	10920	134688
150	10998	134671
151	11076	134667
152	11137	134453
153	11200	134260
154	11277	134242
155	11352	134196
156	11429	134166
157	11508	134163
158	11578	134063
159	11652	134000
160	11725	133932
161	11799	133868
162	11877	133858
163	11960	133904
164	12054	134062
165	12136	134091
166	12207	133992
167	12283	133947
168	12358	133894
169	12438	133892
170	12527	133997
171	12603	133953
172	12673	133843
173	12745	133749
174	12817	133670
175	12886	133549
176	13001	133904
177	13113	134233
178	13188	134173
179	13268	134155
180	13332	133990
181	13409	133945
182	13478	133831
183	13546	133697
184	13633	133756
185	13698	133593
186	13764	133446
187	13851	133509
188	13967	133836
189	14050	133848
190	14143	133959
191	14226	133965
192	14308	133970
193	14373	133809
194	14449	133749
195	14520	133648
196	14599	133619
197	14721	133981
198	14808	134016
199	14899	134092
200	14974	134021
201	15038	133853
202	15097	133644
203	15164	133502
204	15245	133494
205	15328	133491
206	15433	133681
207	15518	133695
208	15604	133717
209	15687	133718
210	15752	133564
211	15824	133462
212	15900	133399
213	15975	133331
214	16041	133185
215	16122	133160
216	16188	133016
217	16257	132890
218	16320	132726
219	16397	132673
220	16465	132540
221	16563	132653
222	16630	132519
223	16693	132354
224	16758	132203
225	16832	132125
226	16900	131999
227	16974	131921
228	17042	131802
229	17109	131671
230	17171	131499
231	17247	131437
232	17313	131303
233	17390	131245
234	17454	131094
235	17514	130913
236	17583	130801
237	17657	130727
238	17719	130563
239	17786	130437
240	17856	130327
241	17920	130179
242	17993	130098
243	18060	129975
244	18128	129857
245	18188	129686
246	18257	129574
247	18321	129432
248	18383	129276
249	18456	129196
250	18516	129027
251	18595	128989
252	18661	128861
253	18727	128736
254	18792	128596
255	18859	128477
256	18924	128347
257	18991	128229
258	19049	128048
259	19119	127951
260	19186	127834
261	19251	127708
262	19318	127592
263	19389	127499
264	19455	127375
265	19531	127322
266	19596	127194
267	19657	127037
268	19725	126930
269	19793	126822
270	19856	126684
271	19922	126564
272	19989	126452
273	20058	126354
274	20133	126294
275	20199	126172
276	20266	126062
277	20329	125923
278	20399	125834
279	20464	125709
280	20531	125597
281	20604	125527
282	20672	125420
283	20743	125335
284	20803	125184
285	20867	125060
286	20933	124945
287	21004	124861
288	21064	124710
289	21136	124633
290	21204	124529
291	21259	124354
292	21325	124241
293	21401	124185
294	21470	124090
295	21555	124089
296	21646	124120
297	21714	124020
298	21784	123933
299	21851	123826
300	21918	123722
301	21985	123611
302	22053	123514
303	22113	123372
304	22180	123264
305	22252	123188
306	22317	123073
307	22385	122977
